I0,I1,I2,I3,I4,I5
-0.314999,-0.311787,3.172161,0.000000,0.021978,-0.012838
-0.313199,-0.308719,3.142857,-29.304502,0.021978,-0.017986
-0.311399,-0.305651,3.186813,43.956753,0.017094,-0.023058
-0.309599,-0.302199,3.186813,0.000000,0.017094,-0.029683
-0.307800,-0.297597,3.201466,14.652251,0.007326,-0.040950
-0.306000,-0.294145,3.230770,29.304502,0.007326,-0.047502
-0.304200,-0.291077,3.245422,14.652251,-0.002442,-0.052555
-0.302400,-0.288009,3.260075,14.652251,-0.002442,-0.057627
-0.300600,-0.284557,3.216118,-43.956753,-0.012210,-0.064251
-0.298800,-0.281489,3.216118,0.000000,-0.012210,-0.069304
-0.297000,-0.278038,3.201466,-14.652251,-0.017094,-0.075929
-0.295200,-0.276504,3.201466,0.000000,-0.017094,-0.074771
-0.293400,-0.271519,3.230770,29.304502,-0.021978,-0.087683
-0.291600,-0.268067,3.230770,0.000000,-0.026862,-0.094212
-0.289800,-0.264615,3.245422,14.652251,-0.026862,-0.100821
-0.288000,-0.261547,3.274727,29.304502,-0.036630,-0.105874
-0.286200,-0.258479,3.274727,0.000000,-0.041514,-0.110946
-0.284400,-0.255411,3.274727,0.000000,-0.046398,-0.116018
-0.282600,-0.251960,3.260075,-14.652251,-0.051282,-0.122643
-0.280800,-0.248508,3.245422,-14.652251,-0.056166,-0.129248
-0.279000,-0.245440,3.274727,29.304502,-0.061050,-0.134301
-0.277200,-0.241989,3.289379,14.652251,-0.065934,-0.140926
-0.275400,-0.238538,3.289379,0.000000,-0.070818,-0.147531
-0.273600,-0.235470,3.304028,14.648437,-0.070818,-0.152584
-0.271800,-0.232018,3.274727,-29.300688,-0.080586,-0.159212
-0.270000,-0.228950,3.274727,0.000000,-0.080586,-0.164265
-0.268200,-0.225498,3.245422,-29.304502,-0.085470,-0.170890
-0.266400,-0.222047,3.245422,0.000000,-0.085470,-0.177495
-0.264600,-0.220512,3.245422,0.000000,-0.085470,-0.176337
-0.262800,-0.215528,3.274727,29.304502,-0.109890,-0.189250
-0.261000,-0.212075,3.318680,43.952938,-0.114774,-0.195782
-0.259200,-0.209008,3.318680,0.000000,-0.114774,-0.200831
-0.257400,-0.205556,3.274727,-43.952938,-0.134310,-0.207460
-0.255600,-0.202488,3.260075,-14.652251,-0.148962,-0.212512
-0.253800,-0.199420,3.230770,-29.304502,-0.148962,-0.217584
-0.252000,-0.195969,3.245422,14.652251,-0.158731,-0.224209
-0.250200,-0.192517,3.289379,43.956753,-0.173382,-0.230814
-0.248400,-0.189066,3.289379,0.000000,-0.173382,-0.237420
-0.246600,-0.185615,3.274727,-14.652251,-0.188034,-0.244025
-0.244800,-0.182547,3.274727,0.000000,-0.183150,-0.249078
-0.243000,-0.179479,3.260075,-14.652251,-0.192918,-0.254150
-0.241200,-0.176411,3.260075,0.000000,-0.192918,-0.259222
-0.239400,-0.172959,3.186813,-73.261261,-0.197803,-0.265847
-0.237600,-0.170274,3.186813,0.000000,-0.207570,-0.269351
-0.235800,-0.166822,3.186813,0.000000,-0.207570,-0.275994
-0.234000,-0.163371,3.201466,14.652251,-0.231990,-0.282600
-0.232200,-0.160303,3.186813,-14.652251,-0.231990,-0.287653
-0.230401,-0.157619,3.186813,0.000000,-0.246642,-0.291172
-0.228601,-0.153784,3.186813,0.000000,-0.236875,-0.299369
-0.226801,-0.150716,3.172161,-14.652251,-0.241758,-0.304402
-0.225001,-0.148031,3.142857,-29.304502,-0.256411,-0.307922
-0.223201,-0.144580,3.113552,-29.304502,-0.256411,-0.314565
-0.221401,-0.141512,3.128204,14.652251,-0.275947,-0.319618
-0.219601,-0.138444,3.128204,0.000000,-0.275947,-0.324690
-0.217801,-0.134993,3.157509,29.304502,-0.280830,-0.331315
-0.216001,-0.131925,3.128204,-29.304502,-0.275947,-0.336368
-0.214201,-0.130007,3.098900,-29.304502,-0.271062,-0.336782
-0.212401,-0.125789,3.098900,0.000000,-0.285714,-0.346569
-0.210601,-0.123104,3.054947,-43.952938,-0.285714,-0.350031
-0.208801,-0.120036,3.025642,-29.304502,-0.300366,-0.355122
-0.207001,-0.118118,3.025642,0.000000,-0.300366,-0.355536
-0.205201,-0.115050,3.010990,-14.652251,-0.300366,-0.360665
-0.203406,-0.111216,3.010990,0.000000,-0.319902,-0.368862
-0.201622,-0.108147,3.010990,0.000000,-0.319902,-0.373967
-0.199851,-0.105845,2.996338,-14.652251,-0.315019,-0.376049
-0.198092,-0.103161,2.981686,-14.652251,-0.319902,-0.379769
-0.196344,-0.100476,2.981686,0.000000,-0.319902,-0.383519
-0.194609,-0.097408,2.952381,-29.304502,-0.319902,-0.388870
-0.192886,-0.094725,2.908424,-43.956753,-0.334555,-0.392692
-0.191174,-0.092040,2.879120,-29.304502,-0.334555,-0.396586
-0.189475,-0.088972,2.849815,-29.304502,-0.339438,-0.402080
-0.187788,-0.085136,2.849815,0.000000,-0.344322,-0.410713
-0.186112,-0.083220,2.849815,0.000000,-0.344322,-0.411584
-0.184449,-0.080535,2.864468,14.652251,-0.354091,-0.415708
-0.182798,-0.077850,2.820515,-43.952938,-0.349206,-0.419841
